六四|Sixty-four
学潮|Campus upheaval
操你妈|Fuck
法轮|Falun
flg|
falungong|
falundafa|
fuck|
真善忍|Truthfulness Compassion Tolerance
大纪元|Epoch Times
吾尔开希|Wuerkaixi
方励之|Fang Lizhi
未来中国论坛|Future China Forum
高勤荣|Gap Qinrong
胡紧掏|Hu tight dig
黄菊|Huang Ju
江绵恒|Jiang Mianheng
张德江|Zhang Dejiang
赵紫阳|Zhao Ziyang
瘟家宝|Wen Jiabao
共匪|Communist gangsters
美国之音|Voice of America
零八宪章|Charter 08
刘晓波|Liu Xiaobo
丁子霖|Ding Zilin
口交|Oral sex
性交|Sexual intercourse
援交|Enjo
轮奸|Gang rape
共惨党|Miserable party
一党专政|One-party dictatorship
江贼民|Jiang Zei Min
肏屄|Fuck cunt
八九|Eighty-nine
河殇|River Elegy
八九民运|1989 Democracy Movement
肉洞|Roudong
操逼|Operating force
骚逼|Sao force
淫水|Sexual secretion
逼样|Force sample
妈逼|Mom forced
屁眼|Asshole
二b|Two B
阴部|Private parts
阴毛|Pubes
出售手枪|Pistol sale
结束一党专政|End one-party dictatorship
真理部|Ministry of Truth
茉莉|Jasmine
习胖子|Fat man Xi
五月三十五|May 35th
温影帝|Best Actor Wen
二十二年前|22 years ago
瓶反鹿死|Redress June Fourth
办证|Processing certification
薄熙来|Bo Xilai
视频裸聊|Nude video chat
成人视频下载|Adult Video Downloads
高仿毕业证|High quality imitation diploma
办证服务公司|Company that processes certification
办理大专文凭|Processing junior college diplomas
出售x卧底|Selling Xwodi
美女激情视频|Beauty passion video
电购数据|Information on television shopping
08宪章|Charter 08
38军|38th Army
92式|Type 92
chailing|
fa-luen|
falun|
freeliuxiaobo|
hexun|
k粉|K powder
lihongzhi|
lipeng|
luen功|luen power
q q|
six四|Jun 4
six月four日|Jun 4
zemin|
白粉|White powder
白皮书|White paper
百家乐|Baccarat
包养|Nurturing
保钓|Diaoyu Islands
保护伞|Umbrella
鲍彤|Bao Tong
暴政|Tyranny
冰毒|Meth
博讯|Boxun
藏独|Tibetan separatist
曾庆红|Zeng
陈子明|Chen Ziming
陳水扁|Chen Shui-bian
赤匪|Red bandits
赤化|Communization
畜生|Beast
达赖|Dalai
打倒|Down
大法|Dafa
大中华论坛|Greater China Forum
邓小平|Deng Xiaoping
抵制|Boycott
弟子|Disciple
钓鱼岛|Diaoyu Islands
动乱|Turmoil
动态网|Dynamic Network
毒品|Drugs
独裁|Dictatorship
法輪|Falun
反人类|Crimes against humanity
反日|Anti-Japan
分裂|Split
封杀|Ban
傅怡彬|Fu Yibin
告全体网民书|Report all Internet users book
工自联|Independent Workers' Alliance
共党|Communists
管理员|Administrator
汉人|Han
賀國強|He Guoqiang
胡海青|HU Hai-qing
胡海清|Hu Haiqing
胡星斗|Mr Hu
