退出中共|Quit CPC
中革中央|
共产党下台|Down with CPC
突破中共|Break Through CPC
废除中共|Repeal CPC
打倒中共|Down with CPC
打倒共产党|
推翻中共|Overthrow CPC
灭中共|Destory CPC
胡温暴政|
推翻中国共产党|
活摘器官|Live Organ Harvesting 
大法弟子|Dafa Deciple
退党+大潮|Quit Party Wave
揭露中共|Reveal CPC
摆脱中共附体|
法lun功|Falun Gong
法輪功|Falun Gong
法輪大法|Falun Dafa
退党+退团+退队|
九評共產黨|
退黨+大潮|Quit Party Wave
邪党+九评|
9评共产党|
九评共产党|
法轮功|Falun Gong
法轮大法|Falun Dafa
零八宪章|Charter 08
茉莉花革命|Jasmine Revolution
08宪章|Charter 08
大纪元|Epoch Times
多维新闻|Duowei News
大紀元|Epoch Times
自由亚洲电台|Radio Free Asia
习禁评|
习包子+习特勒|
周永康+自辩书|
我的最后陈述+薄熙来|
曾伟+曾庆红|
江泽民+去世|
江泽民+死了|Jiang Zemin Died
江主席+去世|
江主席+死|Jiang Zemin Die
江泽民其人|
江泽民病逝|
江蛤蟆|Jiang Toad
習包子+習特勒|Xi Bun Xi-tler
江澤民+死了|Jiang Zemin Died
江澤民其人|
习近平阵营+江派|
十九大争夺战|
彭麻麻+暗斗宋贵妃|
老江+气杀习大大|
韩正+取代李克强|
周永康+薄熙来+政变|
江泽民+江家帮|
软禁+江泽民|
習近平陣營+江派|
彭麻麻+暗鬥宋貴妃|
老江+氣殺習大大|
韓正+取代李克強|
軟禁+江澤民|
好莱坞艳照门种子|
坚守科巴尼+叙利亚|
六四+中共+武力镇压|
六四平反|June 4 Vindication
六四+赵紫阳+镇压|
天安门六四|Tiananmen June 4
六四天安门|June 4 Tiananmen
纪念六四|Memorize June 4
八九学潮|
八九六四|
八九学运|
八九暴乱|Eight Nine Riot
八九民运|
八九民運|
八九血案|
六四+公开信|
六四动乱|June 4 Riot
六四大屠杀|
六四戒严部队|
坦克+六四+屠杀|
六四日记|June 4 Diary
六四暴乱|June 4 Riot
六四烛光集会|
六四血腥屠杀|
六四风波|June 4 Turmoil
勿忘六四|
六四事件+邓小平|
吾尔开希|Wu'er Kaixi
捌玖陆肆|8964
血腥清场内幕|
天安门坦克|Tiananmen Tank
天安门屠杀|Tiananmen Murder
天安门母亲|Tiananmen Mother
天安门流血|Tiananmen Bleeding
天安门自焚|Tiananmen Self-immolation 
天安门风波|Tiananmen Turmoil
六四+血腥+镇压|
毋忘六四|
绝食+声援学生+天安门广场|
